Customer_id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,bureau_score,job,num_dependents,own_telephone,foreign_worker,Spend_debit_card,class
1,<0,19,critical/other existing credit,business,640,<100,unemployed,1,male div/sep,co applicant,1,life insurance,22,stores,for free,110,unemp/unskilled non res,9,yes,no,3463,bad
2,<0,60,existing paid,business,903,<100,1<=X<4,2,male div/sep,co applicant,2,real estate,25,bank,for free,400,unemp/unskilled non res,3,none,yes,1048,good
3,<0,72,critical/other existing credit,business,523,<100,1<=X<4,2,male div/sep,co applicant,2,life insurance,24,bank,for free,190,unemp/unskilled non res,13,none,no,357,bad
4,<0,55,existing paid,business,605,<100,4<=X<7,2,male div/sep,co applicant,4,life insurance,30,none,for free,320,skilled,1,none,yes,1296,bad
5,<0,67,delayed previously,business,709,<100,1<=X<4,2,male div/sep,co applicant,3,no known property,30,stores,for free,170,unskilled resident,4,yes,no,1015,bad
6,<0,50,critical/other existing credit,business,993,500<=X<1000,4<=X<7,3,male div/sep,co applicant,1,real estate,62,bank,for free,410,high qualif/self emp/mgmt,7,none,yes,3218,good
7,<0,54,critical/other existing credit,business,269,<100,<1,1,male div/sep,co applicant,4,real estate,41,stores,own,310,unemp/unskilled non res,5,yes,no,-20,bad
8,<0,17,existing paid,business,999,<100,<1,3,male single,co applicant,2,car,24,none,own,410,skilled,13,none,no,3527,bad
9,<0,19,existing paid,business,425,<100,<1,4,male div/sep,co applicant,1,life insurance,46,none,own,390,unemp/unskilled non res,12,yes,no,1801,good
10,<0,33,existing paid,business,785,<100,<1,1,male div/sep,co applicant,4,no known property,53,stores,own,390,high qualif/self emp/mgmt,1,yes,no,2685,good
11,<0,48,existing paid,business,662,500<=X<1000,1<=X<4,4,male single,co applicant,2,real estate,46,stores,own,330,unskilled resident,7,none,no,687,good
12,<0,60,existing paid,business,7297,<100,>=7,4,male single,co applicant,4,no known property,36,none,rent,10,skilled,1,none,yes,4564,bad
